prefix,target,model,mode,loss,Baseline-prev,Baseline-horizon,horizon,return_no_interest,return_interest,set,is_better
TSLA,log_return_5,TFT,news,0.67,0.86,0.73,5,0.0008489940220928738,-0.0031765071229414503,val,0
TSLA,log_return_5,NBEATSx,financial_and_news,0.82,0.86,0.88,2,,,val,0
TSLA,log_return_5,NBEATSx,financial_and_news,0.72,0.86,0.73,5,0.0048660598779855305,0.0008353357255400581,val,0
TSLA,log_return_5,NHITS,financial_and_news,0.83,0.86,0.88,2,,,val,0
TSLA,log_return_5,NHITS,financial_and_news,0.67,0.86,0.73,5,0.005512493563143561,0.0014831005474139607,val,0
TSLA,log_return_5,TFT,financial_and_news,0.77,0.86,0.88,2,,,val,0
TSLA,log_return_5,TFT,financial_and_news,0.69,0.86,0.73,5,6.464316925712443e-05,-0.003948358812494993,val,0
TSLA,log_return_5,NBEATSx,financial,0.69,0.83,0.83,2,,,test,0
TSLA,log_return_5,NBEATSx,financial,0.7,0.83,0.65,5,-0.02070277349265946,-0.02473492828544731,test,1
TSLA,log_return_5,NHITS,financial,0.73,0.83,0.83,2,,,test,0
TSLA,log_return_5,NHITS,financial,0.71,0.83,0.65,5,0.0002793367294372011,-0.003749809439971717,test,1
TSLA,log_return_5,TFT,financial,0.71,0.83,0.83,2,,,test,0
TSLA,log_return_5,TFT,financial,0.6,0.83,0.65,5,-0.013658564689490364,-0.017682579481878298,test,0
TSLA,log_return_5,NBEATSx,news,0.69,0.83,0.83,2,,,test,0
TSLA,log_return_5,NBEATSx,news,0.49,0.83,0.65,5,0.006624835083976028,0.002599854279071269,test,0
TSLA,log_return_5,NHITS,news,0.78,0.83,0.83,2,,,test,0
TSLA,log_return_5,NHITS,news,0.63,0.83,0.65,5,-0.005685731933401451,-0.009706930634269811,test,0
TSLA,log_return_5,TFT,news,0.71,0.83,0.83,2,,,test,0
TSLA,log_return_5,TFT,news,0.43,0.83,0.65,5,-0.016257340971060904,-0.020275950023545552,test,0
TSLA,log_return_5,NBEATSx,financial_and_news,0.68,0.83,0.83,2,,,test,0
TSLA,log_return_5,NBEATSx,financial_and_news,0.58,0.83,0.65,5,-0.009036435425953672,-0.013060290606516221,test,0
TSLA,log_return_5,NHITS,financial_and_news,0.73,0.83,0.83,2,,,test,0
TSLA,log_return_5,NHITS,financial_and_news,0.61,0.83,0.65,5,-0.007902252029899647,-0.011932181514538396,test,0
TSLA,log_return_5,TFT,financial_and_news,0.59,0.83,0.83,2,,,test,0
TSLA,log_return_5,TFT,financial_and_news,0.28,0.83,0.65,5,-0.01346898396970353,-0.017495973823967035,test,0
BTC-USD,Close,NBEATSx,financial,455314.1,235617.0,475599.23,2,,,val,1
BTC-USD,Close,NBEATSx,financial,558270.67,235617.0,551491.1,7,,,val,0
BTC-USD,Close,NHITS,financial,451263.08,235617.0,475599.23,2,,,val,1
