,timestamp,open,high,low,close,volume
3131,2011-05-02,172.11,173.54,171.49,172.15,5396200
3132,2011-04-29,171.1,173.0,170.48,170.58,5587700
3133,2011-04-28,169.99,171.38,169.7,170.78,5087700
3134,2011-04-27,168.61,170.59,168.46,170.37,5299700
3135,2011-04-26,167.99,169.2,167.4,168.49,7300000
3136,2011-04-25,167.65,168.77,167.23,167.67,3583800
3137,2011-04-21,165.63,168.45,164.86,168.28,6158400
3138,2011-04-20,163.1,165.89,162.19,164.75,10891800
3139,2011-04-19,165.71,166.38,164.44,165.4,6547100
3140,2011-04-18,164.64,166.16,162.86,165.94,6160700
3141,2011-04-15,165.0,166.34,164.87,166.21,5287400
3142,2011-04-14,163.84,165.36,163.16,164.97,4699100
3143,2011-04-13,163.97,164.93,163.66,163.95,4181900
3144,2011-04-12,163.36,163.77,162.3,163.25,3860600
3145,2011-04-11,163.44,164.0,163.11,163.95,4139000
3146,2011-04-08,164.35,164.38,163.16,164.05,3324100
3147,2011-04-07,164.1,164.5463,163.28,164.38,3666700
3148,2011-04-06,164.34,164.75,163.81,164.04,3774800
3149,2011-04-05,163.81,164.7,163.62,163.99,3612000
3150,2011-04-04,164.42,164.73,163.58,164.25,3225100
3151,2011-04-01,163.7,164.42,163.04,164.27,4381900
3152,2011-03-31,163.4,164.06,163.07,163.07,3860800
3153,2011-03-30,163.55,163.99,163.02,163.6,3394100
3154,2011-03-29,161.34,163.09,161.15,162.88,3456700
3155,2011-03-28,161.54,162.58,161.12,161.37,3972800
3156,2011-03-25,160.98,162.74,160.76,162.18,5348100
3157,2011-03-24,160.23,160.71,158.84,160.04,5145800
3158,2011-03-23,158.0,160.08,157.53,159.53,4782500
3159,2011-03-22,158.56,158.61,157.52,158.0,4311400
3160,2011-03-21,157.64,159.63,157.07,157.68,5784000
3161,2011-03-18,156.5,156.95,154.32,155.89,11450000
3162,2011-03-17,154.0,154.5,152.7,154.18,7376400
3163,2011-03-16,156.52,156.98,151.71,153.0,12195300
3164,2011-03-15,157.35,159.64,156.88,159.02,6475800
3165,2011-03-14,161.16,161.9804,160.09,161.39,4300500
3166,2011-03-11,162.4,163.24,160.84,162.43,4271000
3167,2011-03-10,164.64,164.67,161.38,162.02,7041400
3168,2011-03-09,163.47,167.72,163.28,165.86,9086600
3169,2011-03-08,159.7,163.43,159.21,162.28,5384800
3170,2011-03-07,161.6,162.98,158.85,159.93,5312000
3171,2011-03-04,163.4,164.31,160.65,161.83,4910700
3172,2011-03-03,161.42,164.0,161.27,163.48,4057800
3173,2011-03-02,159.43,161.11,159.41,160.16,3413000
3174,2011-03-01,163.15,163.15,159.88,159.97,4382800
3175,2011-02-28,162.36,162.99,161.24,161.88,4773000
3176,2011-02-25,161.06,162.34,160.86,162.28,4518400
3177,2011-02-24,159.63,161.27,159.03,160.77,5707500
